Időpont;Letöltés;Letöltés %;Feltöltés;Feltöltés %;Válaszidő;Csomagvesztés
2023.05.04 20:30;800.82 Mbps;80%;331.82 Mbps;111%;2 msec.;1
2023.05.04 21:30;805.64 Mbps;81%;331.39 Mbps;110%;2 msec.;1
2023.05.04 22:30;800.62 Mbps;80%;331.58 Mbps;111%;2 msec.;1
2023.05.04 23:30;799.75 Mbps;80%;331.34 Mbps;110%;2 msec.;1
2023.05.05 0:30;786.21 Mbps;79%;331.59 Mbps;111%;2 msec.;1
2023.05.05 1:30;804.38 Mbps;80%;331.81 Mbps;111%;2 msec.;1
2023.05.05 2:30;790.70 Mbps;79%;331.63 Mbps;111%;2 msec.;1
2023.05.05 3:30;0.00 Mbps; %;0.00 Mbps; %; msec.;7
2023.05.05 3:37;793.84 Mbps;79%;331.47 Mbps;110%;2 msec.;1
2023.05.05 4:30;800.89 Mbps;80%;331.70 Mbps;111%;2 msec.;1
2023.05.05 5:30;793.17 Mbps;79%;331.45 Mbps;110%;2 msec.;1
2023.05.05 6:30;794.89 Mbps;79%;331.74 Mbps;111%;2 msec.;1
2023.05.05 7:30;808.18 Mbps;81%;331.58 Mbps;111%;2 msec.;1
2023.05.05 8:31;798.59 Mbps;80%;331.28 Mbps;110%;2 msec.;1
2023.05.05 9:30;794.79 Mbps;79%;330.54 Mbps;110%;2 msec.;1
2023.05.05 10:30;803.60 Mbps;80%;331.71 Mbps;111%;2 msec.;1
2023.05.05 11:30;804.76 Mbps;80%;331.43 Mbps;110%;2 msec.;1
2023.05.05 12:30;794.54 Mbps;79%;331.73 Mbps;111%;2 msec.;1
2023.05.05 13:30;802.83 Mbps;80%;331.39 Mbps;110%;2 msec.;1
2023.05.05 14:30;810.94 Mbps;81%;331.46 Mbps;110%;2 msec.;1
2023.05.05 15:30;799.59 Mbps;80%;331.43 Mbps;110%;2 msec.;1
2023.05.05 16:32;814.55 Mbps;81%;330.96 Mbps;110%;2 msec.;1
2023.05.05 17:30;797.36 Mbps;80%;331.46 Mbps;110%;2 msec.;1
2023.05.05 18:30;0.00 Mbps; %;0.00 Mbps; %; msec.;7
2023.05.05 18:37;812.79 Mbps;81%;330.92 Mbps;110%;2 msec.;1
2023.05.05 19:30;795.06 Mbps;80%;331.37 Mbps;110%;2 msec.;1
2023.05.05 20:30;824.98 Mbps;82%;331.12 Mbps;110%;2 msec.;1
2023.05.05 21:30;803.57 Mbps;80%;331.57 Mbps;111%;2 msec.;1
2023.05.05 22:30;811.04 Mbps;81%;331.51 Mbps;111%;2 msec.;1
2023.05.05 23:30;802.75 Mbps;80%;331.67 Mbps;111%;2 msec.;1
2023.05.06 0:30;801.13 Mbps;80%;331.67 Mbps;111%;2 msec.;1
2023.05.06 1:30;805.25 Mbps;81%;331.66 Mbps;111%;2 msec.;1
2023.05.06 2:30;790.70 Mbps;79%;331.87 Mbps;111%;2 msec.;1
2023.05.06 3:30;792.76 Mbps;79%;331.83 Mbps;111%;2 msec.;1
2023.05.06 4:30;797.57 Mbps;80%;331.40 Mbps;110%;2 msec.;1
2023.05.06 5:30;812.86 Mbps;81%;331.70 Mbps;111%;2 msec.;1
2023.05.06 6:30;796.72 Mbps;80%;331.57 Mbps;111%;2 msec.;1
2023.05.06 7:30;805.34 Mbps;81%;331.54 Mbps;111%;2 msec.;1
2023.05.06 8:30;792.99 Mbps;79%;331.63 Mbps;111%;2 msec.;1
2023.05.06 9:30;798.88 Mbps;80%;331.54 Mbps;111%;2 msec.;1
2023.05.06 10:30;796.43 Mbps;80%;331.54 Mbps;111%;2 msec.;1
2023.05.06 11:30;794.13 Mbps;79%;331.49 Mbps;110%;2 msec.;1
2023.05.06 12:30;781.48 Mbps;78%;331.70 Mbps;111%;2 msec.;1
2023.05.06 13:30;796.44 Mbps;80%;331.52 Mbps;111%;2 msec.;1
2023.05.06 14:30;800.94 Mbps;80%;331.39 Mbps;110%;2 msec.;1
2023.05.06 15:30;798.88 Mbps;80%;331.42 Mbps;110%;2 msec.;1
2023.05.06 16:30;800.62 Mbps;80%;331.40 Mbps;110%;2 msec.;1
2023.05.06 17:30;796.83 Mbps;80%;331.56 Mbps;111%;2 msec.;1
2023.05.06 18:30;800.56 Mbps;80%;331.42 Mbps;110%;2 msec.;1
2023.05.06 19:30;809.72 Mbps;81%;331.45 Mbps;110%;2 msec.;1
2023.05.06 20:30;796.52 Mbps;80%;331.40 Mbps;110%;2 msec.;1
